train,val
1_Ome_1009484_171020_ImageActual,D331_pOme1_DE_HE
1_Ome_1009485_171131_ImageActual,D331_pOme1_DE_rct
10_Ome_1009493_171034_ImageActual,D331_pPer2_DE_HE
10_Ome_1009492_171048_ImageActual,D331_pTub_PE_B_HE
11_Ova_1009411_170998_ImageActual,D331_pPer2_DE_HE_rscn
11_Ova_1009410_171036_ImageActual,D331_pOme2_JL_PL_HE
12_Ome_1009496_171093_ImageActual,D331_pTub_PE_A_HE
12_Ome_1009497_416639_ImageActual,D335_pOme1_DE_HE
13129_Mes_1009593_269102_ImageActual,D335_pOme1_JL_PL_HE
13129_Mes_1009594_269103_ImageActual,D335_pMes1_PE_B_HE
13136_Ome_1009595_269104_ImageActual,D335_pMes1_PE_A_HE
13136_Ome_1009596_269105_ImageActual,D336_pBow_PE_VIIIC_HE
13280_Ova_1009597_269106_ImageActual,D336_pBow_PE_VIIID_HE
14_Ova_1009414_171117_ImageActual,D336_pBow_PE_VIIIF_HE
14_Ova_1009415_416623_ImageActual,D336_pBow_PE_VIIIE_HE
15_Ome_1009412_171005_ImageActual,D341_pOme1_DE_HE
15_Ome_1009413_170999_ImageActual,D341_pPer2_PE_I_HE
17_Ova_1009416_171057_ImageActual,D341_pOme_PE_II_HE
17_Ova_1009417_171107_ImageActual,D341_pOvaR_PE_III_HE
1711_Ome_1009640_269149_ImageActual,D341_pPer1_JL_PL_HE
1711_Ome_1009639_269148_ImageActual,D341_pAdnR1_DE_HE
19_Ova_1009419_171037_ImageActual,D349_pPer1_DE_HE
19_Ova_1009418_171094_ImageActual,D349_pTub2_JL_PL_HE
2_Ome_1009402_171069_ImageActual,D349_pOvaL1_DE_HE
2_Ome_1009403_171101_ImageActual,D349_pTubL1_DE_HE
2054_Ome_1009651_269160_ImageActual,D351_pOme3_JL_APL_HE
2054_Ome_1009650_269159_ImageActual,D351_p2Ome2_PE_B_HE
2121_nan_1009648_269157_ImageActual,D351_p2Ome1_DE_HE
2121_nan_1009649_269158_ImageActual,D351_p2Per1_DE _HE
22_Ova_1009528_171070_ImageActual,D351_p2Oth_JL_APL_HE
22_Ome_1009422_171149_ImageActual,D351_p2Ome2_PE_A_HE
2303_Ova_1009653_269162_ImageActual,D351_pOme1_DE_HE
2303_Ova_1009652_269161_ImageActual,D351_pOme3_JL_BFO_HE
2313_Ova_1009632_269141_ImageActual,D351_pOme2_PE_ _HE
2313_Ova_1009631_269140_ImageActual,D351_p2Oth_JL_BFO_HE
2398_Ova_1009635_269144_ImageActual,D351_p2Ome2_PE_D_HE
2398_Ova_1009636_269145_ImageActual,D351_p2Ome2_PE_C_HE
25_Ova_1009424_171033_ImageActual,D351_p2Oth_JL_CFO_HE
25_Ova_1009425_171016_ImageActual,D370_p0Ome_PE__HE
25_Ome_1009531_171141_ImageActual,H002_pOvaL_PE_I_HE
25_Ome_1009530_171139_ImageActual,H002_pOth_PE__HE
2510_Ome_1009654_269163_ImageActual,H002_pPer_PE_II_HE
2510_Ome_1009655_269164_ImageActual,H014_pPer_PE_II__HE
2553_Ova_1009638_269147_ImageActual,H014_pAdnL_PE_I__HE
2553_Ova_1009637_269146_ImageActual,H019_pPer_PE_II_HE
