train,val
D331_pOme1_DE_HE,D341_pOme1_DE_HE
D331_pOme1_DE_rct,D341_pOme_PE_II_HE
D331_pOme2_JL_PL_HE,H021_pOme_PE_ _HE_rct-rscn
D335_pOme1_DE_HE,H021_pOme_PE_ _HE
D335_pOme1_JL_PL_HE,H083_pOme_JL_C_HE
D351_p2Ome2_PE_C_HE,H083_pOme_JL_B_HE
D351_p2Ome2_PE_D_HE,H083_pOme_JL_A_HE
D351_pOme2_PE_ _HE,H094_pOme_PE_IV_HE
D351_pOme3_JL_BFO_HE,H096_pOme_PE_I_HE
D351_pOme1_DE_HE,H142_pOme_PE_ _HE_rct-rscn
D351_p2Ome2_PE_A_HE,H142_pOme_PE_ _HE
D351_p2Ome1_DE_HE,H182_pOme1_cO_PE_HE
D351_p2Ome2_PE_B_HE,H182_pOme2_cO_PE_HE_rct-rscn
D351_pOme3_JL_APL_HE,H182_pOme2_cO_PE_HE
D370_p0Ome_PE__HE,H228_pOme2_cO_PE_HE
H040_pOme_PE_A_HE_2021-12-17_13-36-46,H228_pOme1_x_PE__HE_rct-rscn
H040_pOme_PE_B_HE_2021-12-17_13-43-28,H228_pOme2_cO_PE_HE_rct-rscn
H046_pOme _PE_II_HE,H228_pOme_PE__HE
H085_pOme_PE_II_HE,H228_pOme1_x_PE_HE
H089_pOme_PE_BFO_HE_rscn,H245_pOme_PE_ _HE
H089_pOme_PE_APL_HE,H292_pOme_PE_IIB_HE
H089_pOme_PE_BFO_HE,H292_pOme_PE_IIA_HE
H103_pOme_PE_I_HE,H314_pOme_PE_IIA_HE
H106_pOme_PE_A_HE,H314_pOme_JL_ICFO_HE
H106_pOme_PE_B_HE,H314_pOme_PE_IIB_HE
H112_pOme_PE_II_HE,H314_pOme_JL_IBFO_HE
H114_pOme_PE_ _HE,H314_pOme_JL_IIFO_HE
H144_pOme_PE_II_HE,H314_pOme_JL_IAPL_HE
H144_pOme1_xO_PE_HE_rct-rscn,H314_pOme_PE_IIC_HE
H144_pOme1_xO_PE_HE,M012_pOme_PE_VIII_HE
H173_pOme_PE_II_HE,M032_pOme_PE_III_HE
H173_pOme_PE_II_HE_2,M040_pOme_PE_II_HE
H201_pOme_PE_II_HE_rscn,M071_pOme_PE_IA_HE
H201_pOme_PE_II_HE,M071_pOme_PE_IC_HE
H215_pOme_JL_PL_HE_rscn,M071_pOme_PE_ID_HE
H215_pOme_JL_PL_HE,M071_pOme_PE_IE_HE
H231_pOme_PE_B_HE,M071_pOme_PE_IB_HE
H231_pOme_PE_A_HE,12_Ome_1009496_171093_ImageActual
H243_pOme_PE_IIC_HE,12_Ome_1009497_416639_ImageActual
H243_pOme_PE_IIE_HE,15_Ome_1009412_171005_ImageActual
H243_pOme_PE_IIB_HE,15_Ome_1009413_170999_ImageActual
H243_pOme_PE_IIA_HE,22_Ome_1009422_171149_ImageActual
H243_pOme_PE_IID_HE,2510_Ome_1009654_269163_ImageActual
H249_pOme_PE_ _HE,2510_Ome_1009655_269164_ImageActual
H281_pOme_PE_II_HE,3219_Ome_1009664_269173_ImageActual
H299_pOme_JL_BFO_HE,3219_Ome_1009665_269174_ImageActual
H299_pOme_JL_APL_HE,3480_Ome_1009683_269192_ImageActual
