train,val
D331_pOme1_DE_HE,D335_pOme1_DE_HE
D331_pOme1_DE_rct,D335_pOme1_JL_PL_HE
D331_pPer2_DE_HE,D335_pMes1_PE_B_HE
D331_pTub_PE_B_HE,D335_pMes1_PE_A_HE
D331_pPer2_DE_HE_rscn,D349_pPer1_DE_HE
D331_pOme2_JL_PL_HE,D349_pTub2_JL_PL_HE
D331_pTub_PE_A_HE,D349_pOvaL1_DE_HE
D336_pBow_PE_VIIIC_HE,D349_pTubL1_DE_HE
D336_pBow_PE_VIIID_HE,H002_pOvaL_PE_I_HE
D336_pBow_PE_VIIIF_HE,H002_pOth_PE__HE
D336_pBow_PE_VIIIE_HE,H002_pPer_PE_II_HE
D341_pOme1_DE_HE,H021_pOme_PE_ _HE_rct-rscn
D341_pPer2_PE_I_HE,H021_pOme_PE_ _HE
D341_pOme_PE_II_HE,H046_pOme _PE_II_HE
D341_pOvaR_PE_III_HE,H046_pOvaL_PE_I_HE
D341_pPer1_JL_PL_HE,H046_pOth_JL__HE
D341_pAdnR1_DE_HE,H068_pPer_PE__HE
D351_pOme3_JL_APL_HE,H083_pOvaL_PE_B_HE
D351_p2Ome2_PE_B_HE,H083_pOme_JL_A_HE
D351_p2Ome1_DE_HE,H083_pOme_JL_B_HE
D351_p2Per1_DE _HE,H083_pUte_PE_II_HE
D351_p2Oth_JL_APL_HE,H083_pOme_JL_C_HE
D351_p2Ome2_PE_A_HE,H083_pOvaL_PE_A_HE
D351_pOme1_DE_HE,H083_pOvaL_PE_D_HE
D351_pOme3_JL_BFO_HE,H083_pVag_PE_I_HE
D351_pOme2_PE_ _HE,H083_pOvaL_PE_C_HE
D351_p2Oth_JL_BFO_HE,H085_pOth_JL_APL_HE
D351_p2Ome2_PE_D_HE,H085_pOth_JL_BFO_HE
D351_p2Ome2_PE_C_HE,H085_pOme_PE_II_HE
D351_p2Oth_JL_CFO_HE,H085_pPer_PE_I_HE
D370_p0Ome_PE__HE,H094_pPer2_PE_II_HE
H014_pPer_PE_II__HE,H094_pOvaR_PE_III_HE
H014_pAdnL_PE_I__HE,H094_pPer3_PE_V_HE
H019_pPer_PE_II_HE,H094_pOvaR_JL__HE
H019_pPer_PE_I_HE,H094_pOme_PE_IV_HE
H023_pPer_JL_PL_HE,H112_pOme_PE_II_HE
H023_pPer_PE_II_HE,H112_pPer_PE_APL_HE
H040_pOme_PE_A_HE_2021-12-17_13-36-46,H112_pPer_PE_A PL_HE
H040_pOme_PE_B_HE_2021-12-17_13-43-28,H112_pPer_PE_A_HE
H042_pPer2_JL__HE,H112_pPer_PE_B PL_HE
H042_pPer_PE_IIA_HE,H112_pPer2_PE_I_HE
H042_pPer_PE_IIB_HE,H112_pPer_PE_B_HE
H057_pPer_PE_APL_HE,H112_pPer_PE_BPL_HE
H067_pPer1_PE_I_HE,H142_pOvaL_PE_IAPL_HE_rscn
H067_pPer_JL_ _HE,H142_pOvaL_PE_IAPL_HE
H067_pPer2_PE_II_HE,H142_pOme_PE_ _HE_rct-rscn
H072_pAdnR_PE_IA_HE,H142_pOvaL_PE_IB_HE
H072_pOth_JL__HE,H142_pOvaL_PE_IBFO_HE
H072_pAndL_PE_IIC_HE,H142_pPer_JL_IIB_HE
H072_pAdnL_PE_IIB_HE,H142_pPer_JL_IIA_HE
