train,val
10,D335
11,D349
12,H002
13280,H046
15,H089
17,H096
19,H112
2,H144
22,H182
2303,H228
2398,H245
25,H299
2553,H314
26,M014
2710,M039
28,M049
29,M059
3,M063
3219,OC034
33,D331
34,D341
36,D351
38,D370
3845,H021
4,H040
4050,H083
41,H085
4237,H091
4350,H094
4421,H103
4541,H106
4787,H114
49,H129
4968,H142
5161,H173
53,H201
55,H215
56,H231
65,H243
69,H249
70,H281
7053,H292
72,H307
7301,H316
7598,M012
76,M030
78,M032
79,M033
8,M040
80,M054
81,M056
83,M058
84,M060
85,M064
86,M071
8985,M087
94,
95,
97,
99,
CU-03,
CU-05,
CU-07,
CU-08,
CU-12,
CU-13,
CU-15,
CU-17,
CU-19,
CU-21,
CU-25,
CU-27,
CU-29,
CU-30,
CU-32,
CU-33,
CU-37,
CU-38,
CU-40,
CU-41,
CU-43,
CU-44,
CU-46,
1,
13136,
14,
1711,
2054,
2313,
2510,
27,
2807,
31,
3480,
3714,
39,
4086,
4378,
4564,
48,
5,
5462,
6,
7,
71,
7339,
7715,
7924,
8005,
8318,
8986,
93,
96,
CU-02,
CU-06,
CU-10,
CU-14,
CU-18,
CU-24,
CU-28,
CU-31,
CU-34,
CU-39,
CU-42,
CU-45,
635019,
1150997,
1374299,
1503203,
1717872,
1746731,
1851333,
1966013,
1971642,
1994866,
2003045,
2052070,
2188987,
2193607,
2224393,
2243345,
2293394,
2485132,
2485364,
2514248,
2575221,
2640644,
2649818,
2692286,
2717533,
2761293,
2764443,
2787472,
2862149,
2906407,
2909711,
2959832,
2977380,
3014307,
3020537,
3043462,
3072738,
3087924,
3136455,
3158296,
3165600,
5102450,
8003188,
801250,
1038407,
1647314,
1733608,
1969370,
1996566,
2004960,
2223946,
2286314,
2352378,
2572851,
2630938,
2655244,
2778035,
2799356,
2902162,
2937351,
2983362,
3033080,
3128309,
3145706,
3180018,
