train,val
10,D331
11,D341
12,D388
13280,H014
15,H021
17,H042
19,H067
2,H083
22,H091
2303,H096
2398,H106
25,H129
2553,H147
26,H182
2710,H207
28,H228
29,H249
3,H281
3219,H307
33,H314
34,M014
36,M040
38,M044
3845,M056
4,M060
4050,M064
41,OC008
4237,OC017
4350,D335
4421,D336
4541,D349
4787,D351
49,D370
4968,D411
5161,H002
53,H019
55,H023
56,H040
65,H046
69,H057
70,H068
7053,H072
72,H078
7301,H085
7598,H086
76,H089
78,H094
79,H103
8,H112
80,H114
81,H142
83,H144
84,H168
85,H173
86,H188
8985,H190
94,H201
95,H215
97,H231
99,H243
CU-03,H245
CU-05,H256
CU-07,H276
CU-08,H292
CU-12,H299
CU-13,H310
CU-15,H316
CU-17,M012
CU-19,M030
CU-21,M032
CU-25,M033
CU-27,M039
CU-29,M049
CU-30,M054
CU-32,M058
CU-33,M059
CU-37,M062
CU-38,M063
CU-40,M071
CU-41,M073
CU-43,M086
CU-44,M087
CU-46,OC018
1,OC022
13136,OC034
14,
1711,
2054,
2313,
2510,
27,
2807,
31,
3480,
3714,
39,
4086,
4378,
4564,
48,
5,
5462,
6,
7,
71,
7339,
7715,
7924,
8005,
8318,
8986,
93,
96,
CU-02,
CU-06,
CU-10,
CU-14,
CU-18,
CU-24,
CU-28,
CU-31,
CU-34,
CU-39,
CU-42,
CU-45,
635019,
1150997,
1374299,
1647314,
1717872,
1733608,
1767721,
1966013,
1969370,
1994866,
1996566,
2003045,
2052070,
2193607,
2223946,
2243345,
2286314,
2293394,
2470261,
2485364,
2514248,
2572851,
2575221,
2630938,
2640644,
2649818,
2692286,
2717533,
2761293,
2775474,
2778035,
2799356,
2862149,
2902162,
2909711,
2937351,
2977380,
2983362,
3020537,
3022861,
3043462,
3064482,
3087924,
3124696,
3136455,
3158296,
3165600,
5102450,
8003188,
801250,
1038407,
1503203,
1746731,
1851333,
1971642,
2004960,
2188987,
2224393,
2352378,
2485132,
2552756,
2583872,
2655244,
2695586,
2764443,
2787472,
2906407,
2959832,
3014307,
3033080,
3072738,
3128309,
3145706,
3180018,
