train,val
1,D331
10,D335
12,D336
13136,D341
15,D343
1711,D351
2,D370
2054,D375
22,D378
25,D404
2510,D408
26,D411
2710,D427
31,D430
3219,H011
33,H040
34,H046
3480,H082
36,H083
3714,H085
38,H089
4086,H094
4421,H096
4564,H103
4968,H106
5,H112
5161,H114
53,H142
5462,H144
65,H173
7,H182
70,H201
7053,H215
72,H228
7339,H231
7924,H243
8,H249
80,H281
8005,H292
8318,H299
84,H307
86,H314
8985,M012
95,M014
96,M030
99,M032
CU-03,M033
CU-05,M039
CU-07,M040
CU-10,M049
CU-13,M056
CU-14,M058
CU-15,M059
CU-17,M071
CU-18,
CU-27,
CU-29,
CU-34,
CU-40,
CU-42,
CU-44,
