train,val
1,D331
10,D335
11,D336
12,D341
13129,D343
13136,D349
13280,D351
14,D370
15,D375
17,D376
1711,D378
19,D382
2,D388
2054,D397
2121,D404
22,D408
2303,D411
2313,D427
2398,D430
25,D433
2510,H002
2553,H011
26,H014
2685,H019
27,H023
2710,H040
28,H042
2807,H046
29,H057
3,H067
31,H068
3219,H072
33,H078
34,H082
3480,H083
35,H085
36,H086
3604,H089
3714,H091
38,H094
3812,H096
3845,H103
39,H106
4,H112
4050,H114
4086,H129
41,H131
4114,H142
4237,H144
4322,H147
4350,H168
4378,H173
44,H182
4421,H188
4541,H190
4564,H201
4787,H207
48,H215
49,H228
4968,H231
5,H243
5161,H249
52,H256
53,H276
5462,H281
55,H292
56,H299
5980,H307
6,H310
65,H314
69,H316
7,M012
70,M014
7053,M030
7064,M032
7078,M033
71,M039
72,M040
7203,M044
7270,M049
7301,M054
7339,M056
7598,M058
76,M059
7715,M060
78,M062
79,M063
7924,M064
8,M071
80,M073
8005,M087
81,OC008
82,OC017
8228,OC018
83,OC022
8318,OC034
84,
85,
86,
8985,
8986,
90,
91,
93,
94,
95,
96,
97,
99,
CU-01,
CU-02,
CU-03,
CU-04,
CU-05,
CU-06,
CU-07,
CU-08,
CU-09,
CU-10,
CU-11,
CU-12,
CU-13,
CU-14,
CU-15,
CU-16,
CU-17,
CU-18,
CU-19,
CU-20,
CU-21,
CU-22,
CU-23,
CU-24,
CU-25,
CU-26,
CU-27,
CU-28,
CU-29,
CU-30,
CU-31,
CU-32,
CU-33,
CU-34,
CU-35,
CU-36,
CU-37,
CU-38,
CU-39,
CU-40,
CU-41,
CU-42,
CU-43,
CU-44,
CU-45,
CU-46,
