train,val
1,D331
10,D335
11,D336
12,D341
13129,D349
13136,D351
13280,D370
14,H002
15,H014
17,H019
1711,H021
19,H023
2,H040
2054,H042
2121,H046
22,H057
2303,H067
2313,H068
2398,H072
25,H078
2510,H083
2553,H085
26,H086
2685,H089
27,H091
2710,H094
28,H096
2807,H103
29,H106
3,H112
31,H114
3219,H129
33,H142
34,H144
3480,H147
35,H168
36,H173
3604,H182
3714,H188
38,H201
3812,H207
3845,H215
39,H228
4,H231
4050,H243
4086,H245
41,H249
4114,H256
4237,H276
4322,H281
4350,H292
4378,H299
44,H307
4421,H310
4541,H314
4564,H316
4787,M012
48,M014
49,M030
4968,M032
5,M033
5161,M039
52,M040
53,M044
5462,M049
55,M054
56,M056
5980,M058
6,M059
65,M060
69,M062
7,M063
70,M064
7053,M071
7064,M073
7078,M086
71,M087
72,OC008
7203,OC017
7270,OC018
7301,OC022
7339,OC034
7598,
76,
7715,
78,
79,
7924,
8,
80,
8005,
81,
82,
8228,
83,
8318,
84,
85,
86,
8985,
8986,
90,
91,
93,
94,
95,
96,
97,
99,
CU-01,
CU-02,
CU-03,
CU-04,
CU-05,
CU-06,
CU-07,
CU-08,
CU-09,
CU-10,
CU-11,
CU-12,
CU-13,
CU-14,
CU-15,
CU-16,
CU-17,
CU-18,
CU-19,
CU-20,
CU-21,
CU-22,
CU-23,
CU-24,
CU-25,
CU-26,
CU-27,
CU-28,
CU-29,
CU-30,
CU-31,
CU-32,
CU-33,
CU-34,
CU-35,
CU-36,
CU-37,
CU-38,
CU-39,
CU-40,
CU-41,
CU-42,
CU-43,
CU-44,
CU-45,
CU-46,
