train,val
1,11
10,13280
12,17
13136,19
14,2303
15,25
1711,26
2,28
2054,3
22,33
2313,34
2398,38
2510,4050
2553,4237
27,4350
2710,4541
2807,49
29,53
31,56
3219,69
3480,7053
36,7301
3714,76
3845,79
39,8
4,83
4086,85
41,8985
4378,95
4421,99
4564,CU-05
4787,CU-08
48,CU-13
4968,CU-17
5,CU-21
5161,CU-27
5462,CU-30
55,CU-33
6,CU-38
65,CU-41
7,CU-44
70,D331
71,D370
72,H021
7339,H083
7598,H094
7715,H106
78,H114
7924,H173
80,H215
8005,H243
81,H281
8318,H292
84,M012
86,M032
8986,M033
93,M056
94,M058
96,M071
97,M087
CU-02,1374299
CU-03,1503203
CU-06,1851333
CU-07,1966013
CU-10,1994866
CU-12,2052070
CU-14,2193607
CU-15,2243345
CU-18,2485364
CU-19,2514248
CU-24,2649818
CU-25,2717533
CU-28,2764443
CU-29,2787472
CU-31,2909711
CU-32,2977380
CU-34,3020537
CU-37,3072738
CU-39,3136455
CU-40,3165600
CU-42,5102450
CU-43,
CU-45,
CU-46,
D335,
D341,
D349,
D351,
H002,
H040,
H046,
H085,
H089,
H091,
H096,
H103,
H112,
H129,
H142,
H144,
H182,
H201,
H228,
H231,
H245,
H249,
H299,
H307,
H314,
H316,
M014,
M030,
M039,
M040,
M049,
M054,
M059,
M060,
M063,
M064,
OC034,
635019,
801250,
1038407,
1150997,
1647314,
1717872,
1733608,
1746731,
1969370,
1971642,
1996566,
2003045,
2004960,
2188987,
2223946,
2224393,
2286314,
2293394,
2352378,
2485132,
2572851,
2575221,
2630938,
2640644,
2655244,
2692286,
2761293,
2778035,
2799356,
2862149,
2902162,
2906407,
2937351,
2959832,
2983362,
3014307,
3033080,
3043462,
3087924,
3128309,
3145706,
3158296,
3180018,
8003188,
