train,val
1,11
10,13129
12,14
13136,19
13280,2121
15,22
17,25
1711,2685
2,27
2054,29
2303,33
2313,34
2398,3604
2510,3845
2553,39
26,4086
2710,4322
28,4378
2807,4787
3,4968
31,5
3219,53
3480,5980
35,70
36,7053
3714,72
38,7270
3812,7598
4,7715
4050,7924
41,82
4114,8318
4237,86
4350,8986
44,93
4421,97
4541,CU-02
4564,CU-06
48,CU-08
49,CU-11
5161,CU-14
52,CU-18
5462,CU-20
55,CU-23
56,CU-24
6,CU-27
65,CU-30
69,CU-33
7,CU-36
7064,CU-39
7078,CU-42
71,CU-45
7203,D335
7301,D349
7339,H002
76,H021
78,H046
79,H068
8,H083
80,H085
8005,H094
81,H112
8228,H142
83,H147
84,H182
85,H207
8985,H231
90,H245
91,H276
94,H299
95,H316
96,M030
99,M033
CU-01,M049
CU-03,M058
CU-04,M062
CU-05,M071
CU-07,M086
CU-09,OC018
CU-10,OC034
CU-12,1038407
CU-13,1503203
CU-15,1647314
CU-16,1966013
CU-17,1994866
CU-19,2003045
CU-21,2193607
CU-22,2243345
CU-25,2293394
CU-26,2514248
CU-28,2572851
CU-29,2655244
CU-31,2692286
CU-32,2787472
CU-34,2799356
CU-35,2909711
CU-37,2977380
CU-38,3020537
CU-40,3043462
CU-41,3145706
CU-43,3165600
CU-44,8003188
CU-46,
D331,
D336,
D341,
D351,
D370,
H014,
H019,
H023,
H040,
H042,
H057,
H067,
H072,
H078,
H086,
H089,
H091,
H096,
H103,
H106,
H114,
H129,
H144,
H168,
H173,
H188,
H201,
H215,
H228,
H243,
H249,
H256,
H281,
H292,
H307,
H310,
H314,
M012,
M014,
M032,
M039,
M040,
M044,
M054,
M056,
M059,
M060,
M063,
M064,
M073,
M087,
OC008,
OC017,
OC022,
635019,
801250,
1150997,
1374299,
1717872,
1733608,
1746731,
1851333,
1969370,
1971642,
1996566,
2004960,
2052070,
2188987,
2223946,
2224393,
2286314,
2352378,
2485132,
2485364,
2575221,
2630938,
2640644,
2649818,
2717533,
2761293,
2764443,
2778035,
2862149,
2902162,
2906407,
2937351,
2959832,
2983362,
3014307,
3033080,
3072738,
3087924,
3128309,
3136455,
3158296,
3180018,
5102450,
