train,val
10,D335
11,D349
12,H002
13280,H046
15,H089
17,H096
19,H112
2,H144
22,H182
2303,H228
2398,H245
25,H299
2553,H314
26,M014
2710,M039
28,M049
29,M059
3,M063
3219,OC034
33,
34,
36,
38,
3845,
4,
4050,
41,
4237,
4350,
4421,
4541,
4787,
49,
4968,
5161,
53,
55,
56,
65,
69,
70,
7053,
72,
7301,
7598,
76,
78,
79,
8,
80,
81,
83,
84,
85,
86,
8985,
94,
95,
97,
99,
CU-03,
CU-05,
CU-07,
CU-08,
CU-12,
CU-13,
CU-15,
CU-17,
CU-19,
CU-21,
CU-25,
CU-27,
CU-29,
CU-30,
CU-32,
CU-33,
CU-37,
CU-38,
CU-40,
CU-41,
CU-43,
CU-44,
CU-46,
1,
13136,
14,
1711,
2054,
2313,
2510,
27,
2807,
31,
3480,
3714,
39,
4086,
4378,
4564,
48,
5,
5462,
6,
7,
71,
7339,
7715,
7924,
8005,
8318,
8986,
93,
96,
CU-02,
CU-06,
CU-10,
CU-14,
CU-18,
CU-24,
CU-28,
CU-31,
CU-34,
CU-39,
CU-42,
CU-45,
D331,
D341,
D351,
D370,
H021,
H040,
H083,
H085,
H091,
H094,
H103,
H106,
H114,
H129,
H142,
H173,
H201,
H215,
H231,
H243,
H249,
H281,
H292,
H307,
H316,
M012,
M030,
M032,
M033,
M040,
M054,
M056,
M058,
M060,
M064,
M071,
M087,
635019,
1150997,
1374299,
1503203,
1717872,
1746731,
1851333,
1966013,
1971642,
1994866,
2003045,
2052070,
2188987,
2193607,
2224393,
2243345,
2293394,
2485132,
2485364,
2514248,
2575221,
2640644,
2649818,
2692286,
2717533,
2761293,
2764443,
2787472,
2862149,
2906407,
2909711,
2959832,
2977380,
3014307,
3020537,
3043462,
3072738,
3087924,
3136455,
3158296,
3165600,
5102450,
8003188,
801250,
1038407,
1647314,
1733608,
1969370,
1996566,
2004960,
2223946,
2286314,
2352378,
2572851,
2630938,
2655244,
2778035,
2799356,
2902162,
2937351,
2983362,
3033080,
3128309,
3145706,
3180018,
