train,val
1,D335
10,D349
12,H002
13136,H021
13280,H046
15,H068
17,H083
1711,H085
2,H094
2054,H112
2303,H142
2313,H147
2398,H182
2510,H207
2553,H231
26,H245
2710,H276
28,H299
2807,H316
3,M030
31,M033
3219,M049
3480,M058
35,M062
36,M071
3714,M086
38,OC018
3812,OC034
4,
4050,
41,
4114,
4237,
4350,
44,
4421,
4541,
4564,
48,
49,
5161,
52,
5462,
55,
56,
6,
65,
69,
7,
7064,
7078,
71,
7203,
7301,
7339,
76,
78,
79,
8,
80,
8005,
81,
8228,
83,
84,
85,
8985,
90,
91,
94,
95,
96,
99,
CU-01,
CU-03,
CU-04,
CU-05,
CU-07,
CU-09,
CU-10,
CU-12,
CU-13,
CU-15,
CU-16,
CU-17,
CU-19,
CU-21,
CU-22,
CU-25,
CU-26,
CU-28,
CU-29,
CU-31,
CU-32,
CU-34,
CU-35,
CU-37,
CU-38,
CU-40,
CU-41,
CU-43,
CU-44,
CU-46,
11,
13129,
14,
19,
2121,
22,
25,
2685,
27,
29,
33,
34,
3604,
3845,
39,
4086,
4322,
4378,
4787,
4968,
5,
53,
5980,
70,
7053,
72,
7270,
7598,
7715,
7924,
82,
8318,
86,
8986,
93,
97,
CU-02,
CU-06,
CU-08,
CU-11,
CU-14,
CU-18,
CU-20,
CU-23,
CU-24,
CU-27,
CU-30,
CU-33,
CU-36,
CU-39,
CU-42,
CU-45,
D331,
D336,
D341,
D351,
D370,
H014,
H019,
H023,
H040,
H042,
H057,
H067,
H072,
H078,
H086,
H089,
H091,
H096,
H103,
H106,
H114,
H129,
H144,
H168,
H173,
H188,
H201,
H215,
H228,
H243,
H249,
H256,
H281,
H292,
H307,
H310,
H314,
M012,
M014,
M032,
M039,
M040,
M044,
M054,
M056,
M059,
M060,
M063,
M064,
M073,
M087,
OC008,
OC017,
OC022,
635019,
801250,
1150997,
1374299,
1717872,
1733608,
1746731,
1851333,
1969370,
1971642,
1996566,
2004960,
2052070,
2188987,
2223946,
2224393,
2286314,
2352378,
2485132,
2485364,
2575221,
2630938,
2640644,
2649818,
2717533,
2761293,
2764443,
2778035,
2862149,
2902162,
2906407,
2937351,
2959832,
2983362,
3014307,
3033080,
3072738,
3087924,
3128309,
3136455,
3158296,
3180018,
5102450,
1038407,
1503203,
1647314,
1966013,
1994866,
2003045,
2193607,
2243345,
2293394,
2514248,
2572851,
2655244,
2692286,
2787472,
2799356,
2909711,
2977380,
3020537,
3043462,
3145706,
3165600,
8003188,
