train,val
1,11
10,13280
12,17
13136,19
14,2303
15,25
1711,26
2,28
2054,3
22,33
2313,34
2398,38
2510,4050
2553,4237
27,4350
2710,4541
2807,49
29,53
31,56
3219,69
3480,7053
36,7301
3714,76
3845,79
39,8
4,83
4086,85
41,8985
4378,95
4421,99
4564,CU-05
4787,CU-08
48,CU-13
4968,CU-17
5,CU-21
5161,CU-27
5462,CU-30
55,CU-33
6,CU-38
65,CU-41
7,CU-44
70,D336
71,D351
72,D370
7339,H002
7598,H040
7715,H057
78,H072
7924,H078
80,H089
8005,H103
81,H114
8318,H144
84,H173
86,H190
8986,H215
93,H243
94,H256
96,H292
97,H310
CU-02,M012
CU-03,M032
CU-06,M039
CU-07,M054
CU-10,M059
CU-12,M063
CU-14,M073
CU-15,M087
CU-18,OC022
CU-19,1374299
CU-24,1717872
CU-25,1767721
CU-28,1966013
CU-29,1994866
CU-31,1996566
CU-32,2223946
CU-34,2286314
CU-37,2293394
CU-39,2514248
CU-40,2575221
CU-42,2640644
CU-43,2649818
CU-45,2761293
CU-46,2778035
D331,2862149
D335,2902162
D341,2937351
D349,2983362
D388,3022861
D411,3087924
H014,3136455
H019,3165600
H021,5102450
H023,
H042,
H046,
H067,
H068,
H083,
H085,
H086,
H091,
H094,
H096,
H106,
H112,
H129,
H142,
H147,
H168,
H182,
H188,
H201,
H207,
H228,
H231,
H245,
H249,
H276,
H281,
H299,
H307,
H314,
H316,
M014,
M030,
M033,
M040,
M044,
M049,
M056,
M058,
M060,
M062,
M064,
M071,
M086,
OC008,
OC017,
OC018,
OC034,
635019,
801250,
1038407,
1150997,
1503203,
1647314,
1733608,
1746731,
1851333,
1969370,
1971642,
2003045,
2004960,
2052070,
2188987,
2193607,
2224393,
2243345,
2352378,
2470261,
2485132,
2485364,
2552756,
2572851,
2583872,
2630938,
2655244,
2692286,
2695586,
2717533,
2764443,
2775474,
2787472,
2799356,
2906407,
2909711,
2959832,
2977380,
3014307,
3020537,
3033080,
3043462,
3064482,
3072738,
3124696,
3128309,
3145706,
3158296,
3180018,
8003188,
