train,val
1,10
11,12
13129,13280
13136,1711
14,2
15,2303
17,2398
19,26
2054,2710
2121,2807
22,3219
2313,3480
25,36
2510,38
2553,4050
2685,4114
27,4237
28,44
29,4541
3,49
31,5161
33,5462
34,56
35,69
3604,7064
3714,71
3812,7203
3845,7339
39,78
4,8
4086,81
41,83
4322,85
4350,8985
4378,91
4421,95
4564,99
4787,CU-03
48,CU-07
4968,CU-09
5,CU-12
52,CU-15
53,CU-19
55,CU-21
5980,CU-26
6,CU-29
65,CU-31
7,CU-35
70,CU-38
7053,CU-41
7078,CU-44
72,D331
7270,D341
7301,D370
7598,H019
76,H042
7715,H067
79,H072
7924,H086
80,H091
8005,H106
82,H114
8228,H144
8318,H173
84,H201
86,H228
8986,H249
90,H281
93,H307
94,H314
96,M014
97,M040
CU-01,M044
CU-02,M056
CU-04,M060
CU-05,M064
CU-06,OC008
CU-08,OC017
CU-10,190
CU-11,801250
CU-13,1038407
CU-14,1503203
CU-16,1746731
CU-17,1851333
CU-18,1971642
CU-20,2004960
CU-22,2188987
CU-23,2224393
CU-24,2352378
CU-25,2485132
CU-27,2552756
CU-28,2583872
CU-30,2655244
CU-32,2695586
CU-33,2764443
CU-34,2787472
CU-36,2906407
CU-37,2959832
CU-39,3014307
CU-40,3033080
CU-42,3072738
CU-43,3128309
CU-45,3145706
CU-46,3180018
D335,
D336,
D349,
D351,
H002,
H014,
H021,
H023,
H040,
H046,
H057,
H068,
H078,
H083,
H085,
H089,
H094,
H096,
H103,
H112,
H129,
H142,
H147,
H168,
H182,
H188,
H207,
H215,
H231,
H243,
H245,
H256,
H276,
H292,
H299,
H310,
H316,
M012,
M030,
M032,
M033,
M039,
M049,
M054,
M058,
M059,
M062,
M063,
M071,
M073,
M086,
M087,
OC018,
OC022,
OC034,
D411,
D388,
635019,
1150997,
1374299,
1647314,
1717872,
1733608,
1767721,
1966013,
1969370,
1994866,
1996566,
2003045,
2052070,
2193607,
2223946,
2243345,
2286314,
2293394,
2470261,
2485364,
2514248,
2572851,
2575221,
2630938,
2640644,
2649818,
2692286,
2717533,
2761293,
2775474,
2778035,
2799356,
2862149,
2902162,
2909711,
2937351,
2977380,
2983362,
3020537,
3022861,
3043462,
3064482,
3087924,
3124696,
3136455,
3158296,
3165600,
5102450,
8003188,
