train,val
10,D331
11,D341
12,D388
13280,H014
15,H021
17,H042
19,H067
2,H083
22,H091
2303,H096
2398,H106
25,H129
2553,H147
26,H182
2710,H207
28,H228
29,H249
3,H281
3219,H307
33,H314
34,M014
36,M040
38,M044
3845,M056
4,M060
4050,M064
41,OC008
4237,OC017
4350,
4421,
4541,
4787,
49,
4968,
5161,
53,
55,
56,
65,
69,
70,
7053,
72,
7301,
7598,
76,
78,
79,
8,
80,
81,
83,
84,
85,
86,
8985,
94,
95,
97,
99,
CU-03,
CU-05,
CU-07,
CU-08,
CU-12,
CU-13,
CU-15,
CU-17,
CU-19,
CU-21,
CU-25,
CU-27,
CU-29,
CU-30,
CU-32,
CU-33,
CU-37,
CU-38,
CU-40,
CU-41,
CU-43,
CU-44,
CU-46,
1,
13136,
14,
1711,
2054,
2313,
2510,
27,
2807,
31,
3480,
3714,
39,
4086,
4378,
4564,
48,
5,
5462,
6,
7,
71,
7339,
7715,
7924,
8005,
8318,
8986,
93,
96,
CU-02,
CU-06,
CU-10,
CU-14,
CU-18,
CU-24,
CU-28,
CU-31,
CU-34,
CU-39,
CU-42,
CU-45,
D335,
D336,
D349,
D351,
D370,
D411,
H002,
H019,
H023,
H040,
H046,
H057,
H068,
H072,
H078,
H085,
H086,
H089,
H094,
H103,
H112,
H114,
H142,
H144,
H168,
H173,
H188,
H190,
H201,
H215,
H231,
H243,
H245,
H256,
H276,
H292,
H299,
H310,
H316,
M012,
M030,
M032,
M033,
M039,
M049,
M054,
M058,
M059,
M062,
M063,
M071,
M073,
M086,
M087,
OC018,
OC022,
OC034,
361049,
801250,
1150997,
1374299,
1647314,
1717872,
1733608,
1767721,
1945633,
1966013,
1971642,
1994866,
2003045,
2004960,
2188987,
2193607,
2224393,
2243345,
2293394,
2352378,
2485132,
2485364,
2514248,
2572851,
2575221,
2630938,
2649818,
2655244,
2692286,
2717533,
2764443,
2775474,
2778035,
2799356,
2888017,
2902162,
2909711,
2937351,
2959832,
2983362,
3007488,
3020537,
3022861,
3043462,
3064482,
3072738,
3124696,
3136455,
3158296,
3165600,
5102450,
8003188,
635019,
1038407,
1503203,
1746731,
1851333,
1969370,
1996566,
2052070,
2223946,
2286314,
2470261,
2552756,
2583872,
2640644,
2695586,
2761293,
2787472,
2862149,
2906407,
2977380,
3014307,
3033080,
3087924,
3128309,
3145706,
3180018,
