train,val
1,D341
10,H014
11,H042
13129,H078
13136,H086
13280,H106
15,H147
17,H188
1711,H215
19,H256
2,H314
2121,H316
22,M040
2303,M060
2313,M071
25,M087
2510,OC022
2553,D411
26,
27,
2710,
28,
29,
3,
31,
3219,
34,
3480,
35,
3604,
3714,
38,
3812,
3845,
39,
4050,
4086,
41,
4114,
4322,
4378,
44,
4421,
4541,
4564,
4787,
49,
4968,
5,
5161,
52,
5462,
55,
56,
5980,
6,
69,
7,
70,
7064,
7078,
71,
72,
7203,
7301,
7339,
76,
7715,
78,
7924,
8,
80,
8005,
81,
82,
83,
8318,
84,
85,
86,
90,
91,
93,
94,
96,
97,
99,
CU-01,
CU-02,
CU-03,
CU-04,
CU-05,
CU-07,
CU-08,
CU-09,
CU-10,
CU-12,
CU-13,
CU-14,
CU-15,
CU-17,
CU-19,
CU-20,
CU-21,
CU-22,
CU-23,
CU-24,
CU-26,
CU-27,
CU-28,
CU-29,
CU-31,
CU-32,
CU-33,
CU-34,
CU-36,
CU-37,
CU-38,
CU-39,
CU-41,
CU-42,
CU-43,
CU-44,
CU-45,
12,
14,
2054,
2398,
2685,
2807,
33,
36,
4,
4237,
4350,
48,
53,
65,
7053,
7270,
7598,
79,
8228,
8985,
8986,
95,
CU-06,
CU-11,
CU-16,
CU-18,
CU-25,
CU-30,
CU-35,
CU-40,
CU-46,
D331,
D335,
D336,
D349,
D351,
D370,
H002,
H019,
H021,
H023,
H040,
H046,
H057,
H067,
H068,
H072,
H083,
H085,
H089,
H091,
H094,
H096,
H103,
H112,
H114,
H129,
H142,
H144,
H168,
H173,
H182,
H201,
H207,
H228,
H231,
H243,
H245,
H249,
H276,
H281,
H292,
H299,
H307,
H310,
M012,
M014,
M030,
M032,
M033,
M039,
M044,
M049,
M054,
M056,
M058,
M059,
M062,
M063,
M064,
M073,
M086,
OC008,
OC017,
OC018,
OC034,
D388,
H190,
635019,
801250,
1038407,
1150997,
1374299,
1647314,
1717872,
1733608,
1767721,
1851333,
1945633,
1966013,
1969370,
1994866,
1996566,
2003045,
2004960,
2188987,
2193607,
2223946,
2243345,
2286314,
2293394,
2352378,
2470261,
2485132,
2485364,
2552756,
2575221,
2583872,
2630938,
2640644,
2649818,
2655244,
2695586,
2717533,
2761293,
2764443,
2778035,
2787472,
2862149,
2888017,
2902162,
2906407,
2909711,
2937351,
2977380,
2983362,
3007488,
3014307,
3022861,
3033080,
3043462,
3064482,
3087924,
3124696,
3128309,
3136455,
3158296,
3165600,
3180018,
5102450,
8003188,
361049,
1503203,
1746731,
1971642,
2052070,
2224393,
2514248,
2572851,
2692286,
2775474,
2799356,
2959832,
3020537,
3072738,
3145706,
