train,val
1,10
12,1711
13136,26
15,33
2,4086
2054,53
22,70
25,80
2510,86
2710,CU-03
31,CU-14
3219,CU-34
34,D341
3480,H046
36,H103
3714,H142
38,H215
4421,H281
4564,H314
4968,M033
5,M049
5161,
5462,
65,
7,
7053,
72,
7339,
7924,
8,
8005,
8318,
84,
8985,
95,
96,
99,
CU-05,
CU-07,
CU-10,
CU-13,
CU-15,
CU-17,
CU-18,
CU-27,
CU-29,
CU-40,
CU-42,
CU-44,
D331,
D335,
D351,
D370,
H021,
H040,
H083,
H085,
H089,
H094,
H096,
H106,
H112,
H114,
H144,
H173,
H182,
H201,
H228,
H231,
H243,
H245,
H249,
H292,
H299,
H307,
M012,
M014,
M030,
M032,
M039,
M040,
M056,
M058,
M059,
M071,
