train,val
1,11
10,13280
12,2
13129,2313
13136,26
14,2710
15,34
17,38
1711,3845
19,4114
2054,4541
2121,4564
22,52
2303,55
2398,70
25,71
2510,76
2553,8
2685,82
27,85
28,93
2807,99
29,CU-04
3,CU-10
31,CU-14
3219,CU-20
33,CU-24
3480,CU-29
35,CU-34
36,CU-39
3604,CU-44
3714,D336
3812,H002
39,H040
4,H068
4050,H089
4086,H103
41,H142
4237,H168
4322,H231
4350,H249
4378,H310
44,M030
4421,M044
4787,M059
48,M064
49,OC017
4968,
5,
5161,
53,
5462,
56,
5980,
6,
65,
69,
7,
7053,
7064,
7078,
72,
7203,
7270,
7301,
7339,
7598,
7715,
78,
79,
7924,
80,
8005,
81,
8228,
83,
8318,
84,
86,
8985,
8986,
90,
91,
94,
95,
96,
97,
CU-01,
CU-02,
CU-03,
CU-05,
CU-06,
CU-07,
CU-08,
CU-09,
CU-11,
CU-12,
CU-13,
CU-15,
CU-16,
CU-17,
CU-18,
CU-19,
CU-21,
CU-22,
CU-23,
CU-25,
CU-26,
CU-27,
CU-28,
CU-30,
CU-31,
CU-32,
CU-33,
CU-35,
CU-36,
CU-37,
CU-38,
CU-40,
CU-41,
CU-42,
CU-43,
CU-45,
CU-46,
D331,
D335,
D341,
D349,
D351,
D370,
H014,
H019,
H021,
H023,
H042,
H046,
H057,
H067,
H072,
H078,
H083,
H085,
H086,
H091,
H094,
H096,
H106,
H112,
H114,
H129,
H144,
H147,
H173,
H182,
H188,
H201,
H207,
H215,
H228,
H243,
H245,
H256,
H276,
H281,
H292,
H299,
H307,
H314,
H316,
M012,
M014,
M032,
M033,
M039,
M040,
M049,
M054,
M056,
M058,
M060,
M062,
M063,
M071,
M073,
M086,
M087,
OC008,
OC018,
OC022,
OC034,
