train,val
1,D349
10,H019
11,H046
12,H072
13129,H091
13136,H112
13280,H144
14,H201
15,H243
17,H281
1711,H307
19,M032
2,M049
2054,M054
2121,M073
22,OC018
2303,
2313,
2398,
25,
2510,
2553,
26,
2685,
27,
2710,
28,
2807,
29,
3,
31,
3219,
33,
34,
3480,
35,
36,
3604,
3714,
38,
3812,
3845,
39,
4,
4050,
4086,
41,
4114,
4237,
4322,
4350,
4378,
44,
4421,
4541,
4564,
4787,
48,
49,
4968,
5,
5161,
52,
53,
5462,
55,
56,
5980,
6,
65,
69,
7,
70,
7053,
7064,
7078,
71,
72,
7203,
7270,
7301,
7339,
7598,
76,
7715,
78,
79,
7924,
8,
80,
8005,
81,
82,
8228,
83,
8318,
84,
85,
86,
8985,
8986,
90,
91,
93,
94,
95,
96,
97,
99,
CU-01,
CU-02,
CU-03,
CU-04,
CU-05,
CU-06,
CU-07,
CU-08,
CU-09,
CU-10,
CU-11,
CU-12,
CU-13,
CU-14,
CU-15,
CU-16,
CU-17,
CU-18,
CU-19,
CU-20,
CU-21,
CU-22,
CU-23,
CU-24,
CU-25,
CU-26,
CU-27,
CU-28,
CU-29,
CU-30,
CU-31,
CU-32,
CU-33,
CU-34,
CU-35,
CU-36,
CU-37,
CU-38,
CU-39,
CU-40,
CU-41,
CU-42,
CU-43,
CU-44,
CU-45,
CU-46,
D331,
D335,
D336,
D341,
D351,
D370,
H002,
H014,
H021,
H023,
H040,
H042,
H057,
H067,
H068,
H078,
H083,
H085,
H086,
H089,
H094,
H096,
H103,
H106,
H114,
H129,
H142,
H147,
H168,
H173,
H182,
H188,
H207,
H215,
H228,
H231,
H245,
H249,
H256,
H276,
H292,
H299,
H310,
H314,
H316,
M012,
M014,
M030,
M033,
M039,
M040,
M044,
M056,
M058,
M059,
M060,
M062,
M063,
M064,
M071,
M086,
M087,
OC008,
OC017,
OC022,
OC034,
