train,val
D331,D335
D336,D343
D341,D351
D349,D375
D368,D385
D370,D406
D376,D419
D382,D433
D388,D451
D399,H021
D404,H040
D408,H057
D409,H068
D427,H086
D442,H094
D447,H114
D456,H142
H002,H147
H019,H173
H034,H190
H036,H215
H042,H243
H046,H256
H064,H299
H067,M012
H072,M032
H078,M033
H083,M049
H089,M058
H091,M062
H103,M068
H112,M086
H129,OC022
H130,
H144,
H157,
H168,
H182,
H188,
H201,
H202,
H228,
H231,
H245,
H249,
H276,
H281,
H310,
H316,
M001,
M014,
M030,
M034,
M040,
M044,
M054,
M056,
M059,
M060,
M063,
M064,
M073,
M087,
OC017,
OC018,
