train,val
635019,1038407
801250,1503203
1150997,1647314
1374299,1966013
1717872,1994866
1733608,2003045
1746731,2193607
1851333,2243345
1969370,2293394
1971642,2514248
1996566,2572851
2004960,2655244
2052070,2692286
2188987,2787472
2223946,2799356
2224393,2909711
2286314,2977380
2352378,3020537
2485132,3043462
2485364,3145706
2575221,3165600
2630938,8003188
2640644,
2649818,
2717533,
2761293,
2764443,
2778035,
2862149,
2902162,
2906407,
2937351,
2959832,
2983362,
3014307,
3033080,
3072738,
3087924,
3128309,
3136455,
3158296,
3180018,
5102450,
