train,val
635019,801250
1150997,1038407
1374299,1503203
1647314,1746731
1717872,1851333
1733608,1971642
1767721,2004960
1966013,2188987
1969370,2224393
1994866,2352378
1996566,2485132
2003045,2552756
2052070,2583872
2193607,2655244
2223946,2695586
2243345,2764443
2286314,2787472
2293394,2906407
2470261,2959832
2485364,3014307
2514248,3033080
2572851,3072738
2575221,3128309
2630938,3145706
2640644,3180018
2649818,
2692286,
2717533,
2761293,
2775474,
2778035,
2799356,
2862149,
2902162,
2909711,
2937351,
2977380,
2983362,
3020537,
3022861,
3043462,
3064482,
3087924,
3124696,
3136455,
3158296,
3165600,
5102450,
8003188,
