train,val
1,11
10,13280
12,17
13136,19
14,2303
15,25
1711,26
2,28
2054,3
22,33
2313,34
2398,38
2510,4050
2553,4237
27,4350
2710,4541
2807,49
29,53
31,56
3219,69
3480,7053
36,7301
3714,76
3845,79
39,8
4,83
4086,85
41,8985
4378,95
4421,99
4564,CU-05
4787,CU-08
48,CU-13
4968,CU-17
5,CU-21
5161,CU-27
5462,CU-30
55,CU-33
6,CU-38
65,CU-41
7,CU-44
70,
71,
72,
7339,
7598,
7715,
78,
7924,
80,
8005,
81,
8318,
84,
86,
8986,
93,
94,
96,
97,
CU-02,
CU-03,
CU-06,
CU-07,
CU-10,
CU-12,
CU-14,
CU-15,
CU-18,
CU-19,
CU-24,
CU-25,
CU-28,
CU-29,
CU-31,
CU-32,
CU-34,
CU-37,
CU-39,
CU-40,
CU-42,
CU-43,
CU-45,
CU-46,
