train,val
D335,D331
D336,D375
D341,D397
D343,D411
D349,H014
D351,H042
D370,H078
D376,H089
D378,H106
D382,H147
D388,H182
D404,H231
D408,H256
D427,H307
D430,M012
D433,M044
H002,M056
H011,M064
H019,OC017
H023,
H040,
H046,
H057,
H067,
H068,
H072,
H082,
H083,
H085,
H086,
H091,
H094,
H096,
H103,
H112,
H114,
H129,
H131,
H142,
H144,
H168,
H173,
H188,
H190,
H201,
H207,
H215,
H228,
H243,
H249,
H276,
H281,
H292,
H299,
H310,
H314,
H316,
M014,
M030,
M032,
M033,
M039,
M040,
M049,
M054,
M058,
M059,
M060,
M062,
M063,
M071,
M073,
M087,
OC008,
OC018,
OC022,
OC034,
