train,val
D331,D335
D336,D351
D341,D370
D343,D382
D346,D411
D349,D433
D353,H011
D354,H042
D362,H067
D371,H083
D375,H094
D376,H106
D378,H128
D388,H158
D397,H188
D404,H201
D408,H235
D417,H281
D427,H292
D430,H323
D436,M018
D445,M044
D448,M056
H002,M062
H014,OC008
H016,OC022
H019,
H023,
H039,
H040,
H046,
H057,
H060,
H068,
H072,
H077,
H078,
H082,
H085,
H086,
H087,
H089,
H091,
H096,
H103,
H112,
H114,
H116,
H122,
H129,
H131,
H142,
H143,
H144,
H147,
H160,
H166,
H168,
H173,
H182,
H190,
H194,
H207,
H215,
H228,
H231,
H243,
H249,
H256,
H258,
H276,
H282,
H299,
H307,
H310,
H314,
H316,
H325,
M004,
M012,
M014,
M030,
M032,
M033,
M039,
M040,
M045,
M048,
M049,
M054,
M058,
M059,
M060,
M063,
M064,
M071,
M073,
M087,
OC002,
OC017,
OC018,
OC024,
OC034,
OC036,
