train,val
D331,H310
D335,
D336,
D341,
D349,
D351,
D370,
D388,
D411,
H002,
H014,
H019,
H021,
H023,
H040,
H042,
H046,
H057,
H067,
H068,
H072,
H078,
H083,
H085,
H086,
H089,
H091,
H094,
H096,
H103,
H106,
H112,
H114,
H129,
H142,
H144,
H147,
H168,
H173,
H182,
H188,
H190,
H201,
H207,
H215,
H228,
H231,
H243,
H245,
H249,
H256,
H276,
H281,
H292,
H299,
H307,
H314,
H316,
M012,
M014,
M030,
M032,
M033,
M039,
M040,
M044,
M049,
M054,
M056,
M058,
M059,
M060,
M062,
M063,
M064,
M071,
M073,
M086,
M087,
OC008,
OC017,
OC018,
OC022,
OC034,
1,
11,
13129,
13136,
14,
15,
17,
19,
2054,
2121,
22,
2313,
25,
2510,
2553,
2685,
27,
28,
29,
3,
31,
33,
34,
35,
3604,
3714,
3812,
3845,
39,
4,
4086,
41,
4322,
4350,
4378,
4421,
4564,
4787,
48,
4968,
5,
52,
53,
55,
5980,
6,
65,
7,
70,
7053,
7078,
72,
7270,
7301,
7598,
76,
7715,
79,
7924,
80,
8005,
82,
8228,
8318,
84,
86,
8986,
90,
93,
94,
96,
97,
CU-01,
CU-02,
CU-04,
CU-05,
CU-06,
CU-08,
CU-10,
CU-11,
CU-13,
CU-14,
CU-16,
CU-17,
CU-18,
CU-20,
CU-22,
CU-23,
CU-24,
CU-25,
CU-27,
CU-28,
CU-30,
CU-32,
CU-33,
CU-34,
CU-36,
CU-37,
CU-39,
CU-40,
CU-42,
CU-43,
CU-45,
CU-46,
10,
12,
13280,
1711,
2,
2303,
2398,
26,
2710,
2807,
3219,
3480,
36,
38,
4050,
4114,
4237,
44,
4541,
49,
5161,
5462,
56,
69,
7064,
71,
7203,
7339,
78,
8,
81,
83,
85,
8985,
91,
95,
99,
CU-03,
CU-07,
CU-09,
CU-12,
CU-15,
CU-19,
CU-21,
CU-26,
CU-29,
CU-31,
CU-35,
CU-38,
CU-41,
CU-44,
361049,
801250,
1150997,
1374299,
1647314,
1717872,
1733608,
1767721,
1945633,
1966013,
1971642,
1994866,
2003045,
2004960,
2188987,
2193607,
2224393,
2243345,
2293394,
2352378,
2485132,
2485364,
2514248,
2572851,
2575221,
2630938,
2649818,
2655244,
2692286,
2717533,
2764443,
2775474,
2778035,
2799356,
2888017,
2902162,
2909711,
2937351,
2959832,
2983362,
3007488,
3020537,
3022861,
3043462,
3064482,
3072738,
3124696,
3136455,
3158296,
3165600,
5102450,
8003188,
635019,
1038407,
1503203,
1746731,
1851333,
1969370,
1996566,
2052070,
2223946,
2286314,
2470261,
2552756,
2583872,
2640644,
2695586,
2761293,
2787472,
2862149,
2906407,
2977380,
3014307,
3033080,
3087924,
3128309,
3145706,
3180018,
